"USAF","WBAN","STATION NAME","CTRY","STATE","ICAO","LAT","LON","ELEV(M)","BEGIN","END"
"999999","24122","FAIRFIELD CAA AP","US","UT","","+40.350","-112.050","+1513.9","19481101","19500731"
"999999","24125","LUCIN","US","UT","","+41.350","-113.900","+1362.2","19481101","19500306"
"999999","24126","OGDEN AIRPORT","US","UT","KOGD","+41.196","-112.011","+1353.0","19480101","19550101"
"999999","24128","WINNEMUCCA MUNICIPAL ARPT","US","NV","KWMC","+40.902","-117.808","+1314.9","19490915","19721231"
"999999","24129","WINNEMUCCA WB CITY","US","NV","","+40.967","-117.717","+1309.1","19480101","19490207"
"999999","24130","BAKER MUNICIPAL AP","US","OR","KBKE","+44.843","-117.809","+1028.1","19480101","19641231"
"999999","24131","BOISE AIR TERMINAL","US","ID","KBOI","+43.567","-116.241","+0874.2","19480101","19721231"
"999999","24132","BOZEMAN GALLATIN FIELD","US","MT","KBZN","+45.788","-111.161","+1356.1","19480101","19550101"
"999999","24133","BURLEY MUNICIPAL ARPT","US","ID","KBYI","+42.542","-113.766","+1267.1","19480101","19650101"
"999999","24134","BURNS FEDERAL BLDG","US","OR","4BW","+43.583","-119.050","+1262.2","19480101","19800215"
"999999","24135","BUTTE SILVER BOW CO ARPT","US","MT","KBTM","+45.965","-112.501","+1686.5","19480101","19610101"
"999999","24137","CUT BANK MUNI AP","US","MT","KCTB","+48.603","-112.375","+1169.8","19480101","19721231"
"999999","24138","DILLON","US","MT","KDLN","+45.258","-112.554","+1591.7","19480101","19970630"
"999999","24139","DRUMMOND AVIATION","US","MT","","+46.638","-113.176","+1219.2","19480101","19550101"
"999999","24140","DUBOIS FAA AIRPORT","US","ID","DBS","+44.167","-112.217","+1563.9","19480101","19550101"
"999999","24141","EPHRATA AP FCWOS","US","WA","KEPH","+47.308","-119.515","+0383.7","19480101","19550101"
"999999","24142","","US","ID","","+42.917","-114.717","+1088.1","19480101","19550101"
"999999","24143","GREAT FALLS INTL ARPT","US","MT","KGTF","+47.473","-111.382","+1114.7","19480101","19721231"
"999999","24144","HELENA ARPT","US","MT","KHLN","+46.606","-111.964","+1179.0","19480101","19721231"
"999999","24145","IDAHO FALLS FANNING FIELD","US","ID","KIDA","+43.516","-112.067","+1446.0","19480101","19650101"
"999999","24146","KALISPELL GLACIER PK INT'L AR","US","MT","KGPI","+48.304","-114.264","+0906.2","19480101","19721231"
"999999","24147","LA CROSSE","US","WA","","+46.817","-117.883","+0452.0","19480101","19480919"
"999999","24148","LA GRANDE MUNI AP","US","OR","KLGD","+45.283","-118.000","+0828.1","19490101","19531231"
"999999","24149","LEWISTON NEZ PERCE COUNTY ARP","US","ID","KLWS","+46.375","-117.016","+0437.7","19480101","19721231"
"999999","24150","LIVINGSTON MISSION FIELD","US","MT","KLVM","+45.698","-110.441","+1407.6","19480101","19550101"
"999999","24151","MALAD CITY AIRPORT","US","ID","KMLD","+42.149","-112.287","+1372.5","19480101","19550101"
"999999","24152","MEACHUM EMERGENCY AP","US","OR","KMEH","+45.511","-118.425","+1135.7","19480101","19721231"
